name,position
left_eye_center_x,66.35902124475341
left_eye_center_y,37.65123419193394
right_eye_center_x,30.306101514079742
right_eye_center_y,37.976942571727
left_eye_inner_corner_x,59.15933943740389
left_eye_inner_corner_y,37.94475232796774
left_eye_outer_corner_x,73.33047798314604
left_eye_outer_corner_y,37.707008310793
right_eye_inner_corner_x,36.65260694805726
right_eye_inner_corner_y,37.98990191451049
right_eye_outer_corner_x,22.384504479169365
right_eye_outer_corner_y,38.03349517525045
left_eyebrow_inner_end_x,56.06851307930932
left_eyebrow_inner_end_y,29.332678249311783
left_eyebrow_outer_end_x,79.4828258641995
left_eyebrow_outer_end_y,29.734860732432328
right_eyebrow_inner_end_x,39.322136922017485
right_eyebrow_inner_end_y,29.502998474112978
right_eyebrow_outer_end_x,15.871177472719145
right_eyebrow_outer_end_y,30.428165911873492
nose_tip_x,48.37418629032899
nose_tip_y,62.71588359736168
mouth_left_corner_x,63.2857351209867
mouth_left_corner_y,75.97071433583544
mouth_right_corner_x,32.90040370265751
mouth_right_corner_y,76.17976785460502
mouth_center_top_lip_x,47.97541157202031
mouth_center_top_lip_y,72.91944259683731
mouth_center_bottom_lip_x,48.569472172278324
mouth_center_bottom_lip_y,78.97014624503694
